"filename", "language", "JavaScript", "Markdown", "CSS", "JSON", "HTML", "comment", "blank", "total"
"d:\sem 5\project\E_ticket_system\frontend\.eslintrc.cjs", "JavaScript", 21, 0, 0, 0, 0, 0, 1, 22
"d:\sem 5\project\E_ticket_system\frontend\README.md", "Markdown", 0, 5, 0, 0, 0, 0, 4, 9
"d:\sem 5\project\E_ticket_system\frontend\index.html", "HTML", 0, 0, 0, 0, 21, 0, 2, 23
"d:\sem 5\project\E_ticket_system\frontend\package-lock.json", "JSON", 0, 0, 0, 6376, 0, 0, 1, 6377
"d:\sem 5\project\E_ticket_system\frontend\package.json", "JSON", 0, 0, 0, 42, 0, 0, 1, 43
"d:\sem 5\project\E_ticket_system\frontend\postcss.config.js", "JavaScript", 6, 0, 0, 0, 0, 0, 1, 7
"d:\sem 5\project\E_ticket_system\frontend\src\App.jsx", "JavaScript", 38, 0, 0, 0, 0, 0, 4, 42
"d:\sem 5\project\E_ticket_system\frontend\src\api\axios.js", "JavaScript", 6, 0, 0, 0, 0, 0, 4, 10
"d:\sem 5\project\E_ticket_system\frontend\src\components\Home\CustomerBus.jsx", "JavaScript", 9, 0, 0, 0, 0, 0, 3, 12
"d:\sem 5\project\E_ticket_system\frontend\src\components\Home\Home.jsx", "JavaScript", 55, 0, 0, 0, 0, 0, 8, 63
"d:\sem 5\project\E_ticket_system\frontend\src\components\Home\SearchBar.jsx", "JavaScript", 121, 0, 0, 0, 0, 1, 8, 130
"d:\sem 5\project\E_ticket_system\frontend\src\components\admin\AddBus.jsx", "JavaScript", 499, 0, 0, 0, 0, 1, 41, 541
"d:\sem 5\project\E_ticket_system\frontend\src\components\admin\AdminHome.jsx", "JavaScript", 34, 0, 0, 0, 0, 0, 7, 41
"d:\sem 5\project\E_ticket_system\frontend\src\components\admin\Bus.jsx", "JavaScript", 145, 0, 0, 0, 0, 0, 9, 154
"d:\sem 5\project\E_ticket_system\frontend\src\components\admin\RequireAdminAuth.jsx", "JavaScript", 11, 0, 0, 0, 0, 0, 3, 14
"d:\sem 5\project\E_ticket_system\frontend\src\components\admin\RouteTable.jsx", "JavaScript", 93, 0, 0, 0, 0, 0, 7, 100
"d:\sem 5\project\E_ticket_system\frontend\src\components\admin\Seat.jsx", "JavaScript", 20, 0, 0, 0, 0, 0, 3, 23
"d:\sem 5\project\E_ticket_system\frontend\src\components\admin\SeatArrangement.jsx", "JavaScript", 99, 0, 0, 0, 0, 0, 3, 102
"d:\sem 5\project\E_ticket_system\frontend\src\components\admin\sidebar.jsx", "JavaScript", 62, 0, 0, 0, 0, 0, 4, 66
"d:\sem 5\project\E_ticket_system\frontend\src\components\checker\CheckerHome.jsx", "JavaScript", 9, 0, 0, 0, 0, 0, 3, 12
"d:\sem 5\project\E_ticket_system\frontend\src\components\checker\RequireCheckerAuth.jsx", "JavaScript", 11, 0, 0, 0, 0, 0, 3, 14
"d:\sem 5\project\E_ticket_system\frontend\src\components\signIn\SignIn.jsx", "JavaScript", 118, 0, 0, 0, 0, 0, 9, 127
"d:\sem 5\project\E_ticket_system\frontend\src\components\signIn\SignInModal.jsx", "JavaScript", 37, 0, 0, 0, 0, 0, 6, 43
"d:\sem 5\project\E_ticket_system\frontend\src\components\signIn\Toggle.jsx", "JavaScript", 32, 0, 0, 0, 0, 0, 5, 37
"d:\sem 5\project\E_ticket_system\frontend\src\components\ui\Card.jsx", "JavaScript", 70, 0, 0, 0, 0, 0, 6, 76
"d:\sem 5\project\E_ticket_system\frontend\src\components\ui\ConfirmModal.jsx", "JavaScript", 23, 0, 0, 0, 0, 0, 3, 26
"d:\sem 5\project\E_ticket_system\frontend\src\components\ui\Feed.jsx", "JavaScript", 36, 0, 0, 0, 0, 0, 3, 39
"d:\sem 5\project\E_ticket_system\frontend\src\components\ui\Footer.jsx", "JavaScript", 74, 0, 0, 0, 0, 0, 2, 76
"d:\sem 5\project\E_ticket_system\frontend\src\components\ui\Header.jsx", "JavaScript", 50, 0, 0, 0, 0, 0, 3, 53
"d:\sem 5\project\E_ticket_system\frontend\src\components\ui\ImageUploader.jsx", "JavaScript", 79, 0, 0, 0, 0, 3, 8, 90
"d:\sem 5\project\E_ticket_system\frontend\src\components\ui\Loading.jsx", "JavaScript", 10, 0, 0, 0, 0, 0, 3, 13
"d:\sem 5\project\E_ticket_system\frontend\src\components\ui\SlideShow.jsx", "JavaScript", 38, 0, 0, 0, 0, 0, 2, 40
"d:\sem 5\project\E_ticket_system\frontend\src\components\ui\weekDaySelector.jsx", "JavaScript", 75, 0, 0, 0, 0, 1, 6, 82
"d:\sem 5\project\E_ticket_system\frontend\src\context\AuthContext.jsx", "JavaScript", 14, 0, 0, 0, 0, 0, 4, 18
"d:\sem 5\project\E_ticket_system\frontend\src\context\DataContext.jsx", "JavaScript", 19, 0, 0, 0, 0, 0, 3, 22
"d:\sem 5\project\E_ticket_system\frontend\src\index.css", "CSS", 0, 0, 3, 0, 0, 0, 1, 4
"d:\sem 5\project\E_ticket_system\frontend\src\main.jsx", "JavaScript", 13, 0, 0, 0, 0, 0, 2, 15
"d:\sem 5\project\E_ticket_system\frontend\tailwind.config.js", "JavaScript", 7, 0, 0, 0, 0, 1, 1, 9
"d:\sem 5\project\E_ticket_system\frontend\vite.config.js", "JavaScript", 5, 0, 0, 0, 0, 1, 2, 8
"Total", "-", 1939, 5, 3, 6418, 21, 8, 189, 8583
